["port 1",""]
["port 2",""]
["port 3",""]
["port 4",""]
("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.9548966532083331e+014 9.9460156970002700e-001 1.2030265857233594e+001
1.9561457884500000e+014 9.9464568372458517e-001 1.2255830679485300e+001
1.9573949236916666e+014 9.9468908686332325e-001 1.2481377011295875e+001
1.9586440589333331e+014 9.9473183889537153e-001 1.2706904832067879e+001
1.9598931941750000e+014 9.9477400181974318e-001 1.2932414122835915e+001
1.9611423294166666e+014 9.9481564100765962e-001 1.3157904867112412e+001
1.9623914646583331e+014 9.9485679823098228e-001 1.3383377064725984e+001
1.9636405999000000e+014 9.9489757524029387e-001 1.3608830695762570e+001
1.9648897351416666e+014 9.9493804991355328e-001 1.3834265760395189e+001
1.9661388703833331e+014 9.9497830311671753e-001 1.4059682267847245e+001
1.9673880056250000e+014 9.9501841707772520e-001 1.4285080237832029e+001
1.9686371408666666e+014 9.9505847327845887e-001 1.4510459701506825e+001
1.9698862761083331e+014 9.9509855003859760e-001 1.4735820701798568e+001
1.9711354113500000e+014 9.9513872000291026e-001 1.4961163293021613e+001
1.9723845465916666e+014 9.9517904775937671e-001 1.5186487539780446e+001
1.9736336818333331e+014 9.9521958780681929e-001 1.5411793515226551e+001
1.9748828170750000e+014 9.9526035673982516e-001 1.5637081309935496e+001
1.9761319523166666e+014 9.9530141140682493e-001 1.5862350995811406e+001
1.9773810875583331e+014 9.9534276985954095e-001 1.6087602657038175e+001
1.9786302228000000e+014 9.9538443831528878e-001 1.6312836376271630e+001
1.9798793580416666e+014 9.9542641245976693e-001 1.6538052232433859e+001
1.9811284932833331e+014 9.9546867926097893e-001 1.6763250299039111e+001
1.9823776285250000e+014 9.9551121909985663e-001 1.6988430643175747e+001
1.9836267637666666e+014 9.9555400799365712e-001 1.7213593325201579e+001
1.9848758990083331e+014 9.9559701968184677e-001 1.7438738399136724e+001
1.9861250342500000e+014 9.9564022736221403e-001 1.7663865913661478e+001
1.9873741694916666e+014 9.9568358078287056e-001 1.7888975923813707e+001
1.9886233047333331e+014 9.9572707958095052e-001 1.8114068461894004e+001
1.9898724399750000e+014 9.9577070008620994e-001 1.8339143570037045e+001
1.9911215752166666e+014 9.9581441904015600e-001 1.8564201291430216e+001
1.9923707104583331e+014 9.9585821231513638e-001 1.8789241671431348e+001
1.9936198457000000e+014 9.9590205325670722e-001 1.9014264758121357e+001
1.9948689809416666e+014 9.9594591085541617e-001 1.9239270602193820e+001
1.9961181161833331e+014 9.9598974797479034e-001 1.9464259256158428e+001
1.9973672514250000e+014 9.9603351985864430e-001 1.9689230772905553e+001
1.9986163866666666e+014 9.9607717311347810e-001 1.9914185203751149e+001
("port 1","mode 1",1,"port 4",1,"transmission")
(101, 3)
1.8737028625000000e+014 1.4090297445436029e-001 7.4174715525312152e-001
1.8749519977416666e+014 1.4021993119371057e-001 1.0248258514079618e+000
1.8762011329833334e+014 1.3953969694668406e-001 1.3078834387886646e+000
1.8774502682250000e+014 1.3886235779948009e-001 1.5909173339059253e+000
1.8786994034666666e+014 1.3818811894490865e-001 1.8739254995235417e+000
1.8799485387083334e+014 1.3751725825535857e-001 2.1569066953229119e+000
1.8811976739500000e+014 1.3685007442140323e-001 2.4398605770426336e+000
1.8824468091916666e+014 1.3618683848269389e-001 2.7227876476893487e+000
1.8836959444333334e+014 1.3552775582104234e-001 3.0056890871696944e+000
1.8849450796750000e+014 1.3487294309894432e-001 3.2885665026547333e+000
1.8861942149166666e+014 1.3422242164947323e-001 3.5714216498030660e+000
1.8874433501583334e+014 1.3357611192832314e-001 3.8542562324787122e+000
1.8886924854000000e+014 1.3293389506935882e-001 4.1370715388264090e+000
1.8899416206416666e+014 1.3229559580337955e-001 4.4198684786704749e+000
1.8911907558833334e+014 1.3166102173254837e-001 4.7026475060574615e+000
1.8924398911250000e+014 1.3102998343821537e-001 4.9854086567750064e+000
1.8936890263666666e+014 1.3040230721392004e-001 5.2681516224791345e+000
1.8949381616083334e+014 1.2977784066214498e-001 5.5508758264755436e+000
1.8961872968500000e+014 1.2915645389200314e-001 5.8335804743888913e+000
1.8974364320916666e+014 1.2853804043639860e-001 6.1162645711498502e+000
1.8986855673333334e+014 1.2792252167912849e-001 6.3989269181038404e+000
1.8999347025750000e+014 1.2730984481060181e-001 6.6815661953438212e+000
1.9011838378166666e+014 1.2670003260061125e-001 6.9641807967164686e+000
1.9024329730583334e+014 1.2609315823502185e-001 7.2467691972610178e+000
1.9036821083000000e+014 1.2548936221084006e-001 7.5293300908481768e+000
1.9049312435416666e+014 1.2488884282412778e-001 7.8118626477993391e+000
1.9061803787833334e+014 1.2429182988510226e-001 8.0943667503944869e+000
1.9074295140250000e+014 1.2369854390824758e-001 8.3768431274082911e+000
1.9086786492666666e+014 1.2310914862766451e-001 8.6592933208130205e+000
1.9099277845083334e+014 1.2252370873390901e-001 8.9417194564243605e+000
1.9111769197500000e+014 1.2194216547287769e-001 9.2241238466950861e+000
1.9124260549916666e+014 1.2136433487340512e-001 9.5065085627387820e+000
1.9136751902333334e+014 1.2078995376796230e-001 9.7888748325727661e+000
1.9149243254750000e+014 1.2021872045547204e-001 1.0071222942502754e+001
1.9161734607166666e+014 1.1965036349498932e-001 1.0353552169353694e+001
1.9174225959583334e+014 1.1908469595304522e-001 1.0635861043917986e+001
